구분,국가,일자,총(누적),1차(누적),완료(누적),추가(누적),합(신규),1차(신규),완료(신규),추가(신규),1차(%),완료(%),인구(명)
일간,대한민국,2023/05/26,,44784499,44372679,,,22,55,,86.48,85.69,51784059
일간,대한민국,2023/05/25,,44784477,44372624,,,20,53,,86.48,85.69,51784059
일간,대한민국,2023/05/24,,44784457,44372571,,,15,50,,86.48,85.69,51784059
일간,대한민국,2023/05/23,,44784442,44372521,,,21,48,,86.48,85.69,51784059
일간,대한민국,2023/05/22,,44784421,44372473,,,17,53,,86.48,85.69,51784059
일간,대한민국,2023/05/21,,44784404,44372420,,,1,0,,86.48,85.69,51784059
일간,대한민국,2023/05/20,,44784403,44372420,,,24,50,,86.48,85.69,51784059
일간,대한민국,2023/05/19,,44784379,44372370,,,24,74,,86.48,85.69,51784059
일간,대한민국,2023/05/18,,44784355,44372296,,,27,49,,86.48,85.69,51784059
일간,대한민국,2023/05/17,,44784328,44372247,,,26,72,,86.48,85.69,51784059
일간,대한민국,2023/05/16,,44784302,44372175,,,30,52,,86.48,85.69,51784059
일간,대한민국,2023/05/15,,44784272,44372123,,,40,50,,86.48,85.69,51784059
일간,대한민국,2023/05/14,,44784232,44372073,,,1,0,,86.48,85.69,51784059
일간,대한민국,2023/05/13,,44784231,44372073,,,11,57,,86.48,85.69,51784059
일간,대한민국,2023/05/12,,44784220,44372016,,,46,115,,86.48,85.69,51784059
일간,대한민국,2023/05/11,,44784174,44371901,,,47,57,,86.48,85.69,51784059
일간,대한민국,2023/05/10,,44784127,44371844,,,28,89,,86.48,85.69,51784059
일간,대한민국,2023/05/09,,44784099,44371755,,,38,94,,86.48,85.69,51784059
일간,대한민국,2023/05/08,,44784061,44371661,,,41,77,,86.48,85.69,51784059
일간,대한민국,2023/05/07,,44784020,44371584,,,1,1,,86.48,85.69,51784059
일간,대한민국,2023/05/06,,44784019,44371583,,,8,53,,86.48,85.69,51784059
일간,대한민국,2023/05/05,,44784011,44371530,,,4,9,,86.48,85.69,51784059
일간,대한민국,2023/05/04,,44784007,44371521,,,63,113,,86.48,85.69,51784059
일간,대한민국,2023/05/03,,44783944,44371408,,,37,134,,86.48,85.69,51784059
일간,대한민국,2023/05/02,,44783907,44371274,,,57,116,,86.48,85.69,51784059
일간,대한민국,2023/05/01,,44783850,44371158,,,42,85,,86.48,85.68,51784059
일간,대한민국,2023/04/30,,44783808,44371073,,,2,2,,86.48,85.68,51784059
