국가,구분,일자,요일,신규확진(명),누적확진(명),인구확진률(%),인구(명),신규사망(명),누적사망(명),사망률(%)
대한민국,일간,2023/07/02,일,7522,32256154,62.29,51784059,3,35071,0.11
대한민국,일간,2023/07/01,토,17605,32248632,62.28,51784059,2,35068,0.11
대한민국,일간,2023/06/30,금,18886,32231027,62.24,51784059,3,35066,0.11
대한민국,일간,2023/06/29,목,18879,32212141,62.20,51784059,11,35063,0.11
대한민국,일간,2023/06/28,수,19299,32193262,62.17,51784059,12,35052,0.11
대한민국,일간,2023/06/27,화,21534,32173963,62.13,51784059,13,35040,0.11
대한민국,일간,2023/06/26,월,20823,32152429,62.09,51784059,10,35027,0.11
대한민국,일간,2023/06/25,일,6601,32131606,62.05,51784059,4,35017,0.11
대한민국,일간,2023/06/24,토,16070,32125005,62.04,51784059,5,35013,0.11
대한민국,일간,2023/06/23,금,16414,32108935,62.01,51784059,6,35008,0.11
대한민국,일간,2023/06/22,목,16252,32092521,61.97,51784059,10,35002,0.11
대한민국,일간,2023/06/21,수,17132,32076269,61.94,51784059,14,34992,0.11
대한민국,일간,2023/06/20,화,20961,32059137,61.91,51784059,14,34978,0.11
대한민국,일간,2023/06/19,월,19690,32038176,61.87,51784059,4,34964,0.11
대한민국,일간,2023/06/18,일,6379,32018486,61.83,51784059,4,34960,0.11
대한민국,일간,2023/06/17,토,15323,32012107,61.82,51784059,3,34956,0.11
대한민국,일간,2023/06/16,금,16752,31996784,61.79,51784059,4,34953,0.11
대한민국,일간,2023/06/15,목,16493,31980032,61.76,51784059,12,34949,0.11
대한민국,일간,2023/06/14,수,17428,31963539,61.72,51784059,16,34937,0.11
대한민국,일간,2023/06/13,화,20715,31946111,61.69,51784059,14,34921,0.11
대한민국,일간,2023/06/12,월,20729,31925396,61.65,51784059,14,34907,0.11
대한민국,일간,2023/06/11,일,4982,31904667,61.61,51784059,4,34893,0.11
대한민국,일간,2023/06/10,토,16006,31899685,61.60,51784059,8,34889,0.11
대한민국,일간,2023/06/09,금,17772,31883679,61.57,51784059,5,34881,0.11
대한민국,일간,2023/06/08,목,21215,31865907,61.54,51784059,20,34876,0.11
