대륙,국가,구분,일자,요일,누적확진(명),신규확진(명),인구확진률(%),인구(명),누적사망(명),신규사망(명),사망률(%)
동아시아/동남아시아,대한민국,일간,2023/03/09,목,30615522,10335,59.12,51784059,34093,12,0.11
동아시아/동남아시아,대한민국,일간,2023/03/08,수,30605187,10890,59.10,51784059,34081,20,0.11
동아시아/동남아시아,대한민국,일간,2023/03/07,화,30594297,12798,59.08,51784059,34061,12,0.11
동아시아/동남아시아,대한민국,일간,2023/03/06,월,30581499,12284,59.06,51784059,34049,15,0.11
동아시아/동남아시아,대한민국,일간,2023/03/05,일,30569215,4300,59.03,51784059,34034,9,0.11
동아시아/동남아시아,대한민국,일간,2023/03/04,토,30564915,9813,59.02,51784059,34025,5,0.11
동아시아/동남아시아,대한민국,일간,2023/03/03,금,30555102,11121,59.00,51784059,34020,6,0.11
동아시아/동남아시아,대한민국,일간,2023/03/02,목,30543981,10408,58.98,51784059,34014,11,0.11
동아시아/동남아시아,대한민국,일간,2023/03/01,수,30533573,7561,58.96,51784059,34003,15,0.11
동아시아/동남아시아,대한민국,일간,2023/02/28,화,30526012,12291,58.95,51784059,33988,11,0.11
동아시아/동남아시아,대한민국,일간,2023/02/27,월,30513721,10817,58.92,51784059,33977,16,0.11
동아시아/동남아시아,대한민국,일간,2023/02/26,일,30502904,4026,58.90,51784059,33961,15,0.11
동아시아/동남아시아,대한민국,일간,2023/02/25,토,30498878,9212,58.90,51784059,33946,6,0.11
동아시아/동남아시아,대한민국,일간,2023/02/24,금,30489666,9913,58.88,51784059,33940,11,0.11
동아시아/동남아시아,대한민국,일간,2023/02/23,목,30479753,10051,58.86,51784059,33929,20,0.11
동아시아/동남아시아,대한민국,일간,2023/02/22,수,30469702,10845,58.84,51784059,33909,22,0.11
동아시아/동남아시아,대한민국,일간,2023/02/21,화,30458857,13082,58.82,51784059,33887,14,0.11
동아시아/동남아시아,대한민국,일간,2023/02/20,월,30445775,11880,58.79,51784059,33873,8,0.11
동아시아/동남아시아,대한민국,일간,2023/02/19,일,30433895,4324,58.77,51784059,33865,9,0.11
동아시아/동남아시아,대한민국,일간,2023/02/18,토,30429571,10274,58.76,51784059,33856,12,0.11
동아시아/동남아시아,대한민국,일간,2023/02/17,금,30419297,10641,58.74,51784059,33844,12,0.11
동아시아/동남아시아,대한민국,일간,2023/02/16,목,30408656,11436,58.72,51784059,33832,28,0.11
동아시아/동남아시아,대한민국,일간,2023/02/15,수,30397220,12519,58.70,51784059,33804,22,0.11
동아시아/동남아시아,대한민국,일간,2023/02/14,화,30384701,14957,58.68,51784059,33782,24,0.11
동아시아/동남아시아,대한민국,일간,2023/02/13,월,30369744,14371,58.65,51784059,33758,11,0.11
동아시아/동남아시아,대한민국,일간,2023/02/12,일,30355373,5174,58.62,51784059,33747,11,0.11
동아시아/동남아시아,대한민국,일간,2023/02/11,토,30350199,11911,58.61,51784059,33736,23,0.11
동아시아/동남아시아,대한민국,일간,2023/02/10,금,30338288,12805,58.59,51784059,33713,16,0.11
동아시아/동남아시아,대한민국,일간,2023/02/09,목,30325483,13504,58.56,51784059,33697,17,0.11
동아시아/동남아시아,대한민국,일간,2023/02/08,수,30311979,14664,58.54,51784059,33680,34,0.11
동아시아/동남아시아,대한민국,일간,2023/02/07,화,30297315,17934,58.51,51784059,33646,22,0.11
